 ,  ,performance
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.7142857142857143
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.7142857142857143
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.5
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8571428571428571
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,0.0
18:00,recall,0.0
18:00,savedEffort,1.0
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9166666666666666
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.75
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8571428571428571
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.875
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8333333333333334
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.9090909090909091
18:00,precision,1.0
18:00,recall,1.0
18:00,savedEffort,0.8888888888888888
